Date_Time,Days,hour,Relative Humidity in %,Temperature,Radiation value in MJ/m^2,Wind Direction,Wind speed in kmph,Demand,Kerala Holidays
1/1/2017 0:00,1,1,88,14.664,0,9,4,342.6657143,TRUE
1/1/2017 1:00,1,2,,14.052,0,,,319.8328571,TRUE
1/1/2017 2:00,1,3,,13.581,0,,,308.7557143,TRUE
1/1/2017 3:00,1,4,78,13.197,0,14,4,299.2357143,TRUE
1/1/2017 4:00,1,5,,12.75,0,,,294.8842857,TRUE
1/1/2017 5:00,1,6,,12.397,0,,,298.5914286,TRUE
1/1/2017 6:00,1,7,54,12.487,0,0,0,320.4142857,TRUE
1/1/2017 7:00,1,8,,12.927,0,,,332.8785714,TRUE
1/1/2017 8:00,1,9,,13.023,0.1,,,326.4614286,TRUE
1/1/2017 9:00,1,10,54,12.973,0.73,0,0,315.6742857,TRUE
1/1/2017 10:00,1,11,,12.928,2.28,,,311.6728571,TRUE
1/1/2017 11:00,1,12,,12.493,2.68,,,308.3571429,TRUE
1/1/2017 12:00,1,13,66,11.676,2.68,29,6,310.1971429,TRUE
1/1/2017 13:00,1,14,,10.674,3.1,,,306.0957143,TRUE
1/1/2017 14:00,1,15,,9.582,2.39,,,309.3742857,TRUE
1/1/2017 15:00,1,16,80,8.768,2.37,5,4,311.0628571,TRUE
1/1/2017 16:00,1,17,,8.355,1.51,,,316.5571429,TRUE
1/1/2017 17:00,1,18,,8.099,0.59,,,320.6985714,TRUE
1/1/2017 18:00,1,19,84,7.945,0.13,0,0,336.8885714,TRUE
1/1/2017 19:00,1,20,,7.786,0,,,432.6828571,TRUE
1/1/2017 20:00,1,21,,7.559,0,,,426.7942857,TRUE
1/1/2017 21:00,1,22,81,7.309,8.1,9,4,424.3485714,TRUE
1/1/2017 22:00,1,23,,6.974,0,,,403.9857143,TRUE
1/1/2017 23:00,1,24,,6.532,0,,,352.26,TRUE
1/2/2017 0:00,2,1,88,6.071,0,0,0,317.5828571,TRUE
1/2/2017 1:00,2,2,,5.654,0,,,300.8414286,TRUE
1/2/2017 2:00,2,3,,5.334,0,,,297.3414286,TRUE
1/2/2017 3:00,2,4,77,5.133,0,7,4,287.6714286,TRUE
1/2/2017 4:00,2,5,,5.135,0,,,286.2157143,TRUE
1/2/2017 5:00,2,6,,5.335,0,,,290.5128571,TRUE
1/2/2017 6:00,2,7,55,6.457,0,25,6,322.4228571,TRUE
1/2/2017 7:00,2,8,,8.425,0,,,346.9471429,TRUE
1/2/2017 8:00,2,9,,10.174,0.1,,,351.82,TRUE
1/2/2017 9:00,2,10,50,11.368,0.68,27,4,359.0585714,TRUE
1/2/2017 10:00,2,11,,11.967,1.51,,,375.9585714,TRUE
1/2/2017 11:00,2,12,,11.965,2.28,,,385.3142857,TRUE
1/2/2017 12:00,2,13,66,11.465,2.7,27,4,390.7242857,TRUE
1/2/2017 13:00,2,14,,10.387,3.05,,,389.6014286,TRUE
1/2/2017 14:00,2,15,,9.273,3.08,,,388.6271429,TRUE
1/2/2017 15:00,2,16,70,8.758,2.83,0,0,399.7142857,TRUE
1/2/2017 16:00,2,17,,8.484,2.22,,,401.4642857,TRUE
1/2/2017 17:00,2,18,,8.214,1.47,,,392.4785714,TRUE
1/2/2017 18:00,2,19,75,7.996,0.69,0,0,395.2157143,TRUE
1/2/2017 19:00,2,20,,7.886,0.11,,,487.3985714,TRUE
